,title,userName,date,developerResponse,rating,review,isEdited
0,I like shopping here,Hanan329,2022-01-25 06:06:13,"{'id': 27673118, 'body': 'Thank you so much for your valuable feedback , We will forward this note to the concerned team to take it into consideration as our aim is to provide the best service to our customers , Have a blessed day 🌹', 'modified': '2022-01-26T11:31:19Z'}",4,"I like this app very much, it’s easy to navigate and fast delivery services. However, I noticed there are no details on the handbags regarding the their sizes and there are not even photos of models wearing those bags at least to give us an idea about their sizes. I also wish there were more brands in-terms with clothes and intimate wears for women.",False
1,Very slow shipping service,Audeamus1,2019-07-18 19:15:23,"{'id': 9762168, 'body': 'Hi,kindly accept our sincere apologies for the inconvenience you may have experienced, would you mind sharing the order number through the link http://tiny.cc/ksix6y so that we can look into it and get back to you. :)\n\n', 'modified': '2019-07-21T00:11:18Z'}",2,"This review is based on my two experiences in summer 2018. Namahi has a wide range of brands. Quality is excellent and I believe it’s genuine, the website is user-friendly and everything seems smooth until shipping starts. Namshi partnered with Aramex. Aramex is synonymous of slow, unnecessarily complicated shipping company. I bought stuff to take with me to the US and was promised to have them delivered within two weeks. Two weeks passed, I travelled and my stuff wasn't delivered yet. I tried to cancel the shipment a few days before my flight and of course Namshi refused. I was supposed to wait until it was delivered and then return it if I didn’t want it. Really? How could it be possible to do that if I was already gone?! Why the promise to deliver within two weeks max if Namshi can’t live up to their promises. That was last year. I will only order from Namshi if I am super flexible with delivery time.",False
2,My favourite website online,Asmaa-Kuwait,2021-03-27 12:24:23,"{'id': 23542113, 'body': 'We are so obliged by your 5-star review. Thanks for sharing your rating with us and the community.', 'modified': '2021-06-23T10:14:15Z'}",5,"I’ve been using NAMSHI since 2013 and have different accounts with them for shopping within Kuwait, UAE and KSA. They’ve always delivered on time, never delayed my orders, and take special care with their packaging that makes me feel I’m getting myself gifts instead of purchasing products. Thank you NAMSHI for staying true to your core values as an e-commerce website and now a beautiful app!",False
3,Wish I’d known earlier,Chrissyb473,2021-10-03 06:25:03,"{'id': 25488366, 'body': 'Thank you so much for your valuable feedback and the 5-star rating🌹\r\n', 'modified': '2021-10-04T18:28:21Z'}",5,I ordered a birthday gift from another popular website over a week ago. After waiting the week they cancelled my order. So I saw the same item on NAMSHI and decided to order it and an additional item. It came the same day👏🏼👏🏼👏🏼AND it was significantly cheaper. Very happy with the items and the delivery. I will now be using NAMSHI and will ditch the other site.,False
4,Needs improvements,RoyceThinksThat,2021-02-12 00:29:58,"{'id': 21030097, 'body': 'Thanks, Royce for your suggestion and we will forward to share your feedback with our concerned team to look into it. Have a lovely day! ', 'modified': '2021-02-13T06:59:19Z'}",3,"First of all I'm a Namshi returning customer, I have been one since early 2017 and generally i don't mind the app but there are definitely some room for improvement:

1- I suggest adding specific measurement information to every size to help customers pick the right size.

2- It would be super nice if I don't have to extend my poor little thumb all the way to the upper left corner of the screen to go back to the previous page, a left to right swipe should do the job.

3- The app absolutely needs to add an excluding tool to the filter feature. Every time I browse through the styles I am bombarded with generic/overpriced Nike and Adidas stuff, not hating on the brands but it would be dope if I can just exclude them without having to select 100+ other brands in the process.",False
5,App not working Today,Hotoun,2021-07-13 10:04:27,"{'id': 23940182, 'body': 'Hello, we thank you for your valuable feedback, it has been raised and will be solved the soonest.', 'modified': '2021-07-15T07:45:06Z'}",5,"Hello all of a sudden the app says (something went wrong, please try again) I also deleted the app and reinstalled it and it still says the same thing.. can you please fix it 🙏🏼 Thanks for the always being the beat shopping app.",False
6,bad experience,muna-KSA,2021-01-14 09:25:00,"{'id': 20440883, 'body': 'Thanks for sharing your comment. We are sorry that your experience did not match your expectations. This was an uncommon situation and we will do it better, and we want the opportunity to further investigate your comment. Could you email us at care@namshi.com and we will work with you to resolve any issues as quickly as possible.\r\n', 'modified': '2021-01-16T09:24:34Z'}",3,"The app includes thousands of brands . The goods are really  wonderful. But the customers’ services isn’t that much . Moreover , they refund you to your account in the app not to your bank account. So you are obligated to buy again . Returning the purchases is hard ; you need long time to contact them through Twitter , email then you receive the reply. 
In general . I don’t like this app .",False
7,One of the best online stores,kholoudabouzid,2022-05-05 23:10:47,"{'id': 29611746, 'body': 'Thank you for taking the time to write this review. Your kind words encourage us greatly. Happy shopping!\n💛💛', 'modified': '2022-05-07T15:05:13Z'}",5,"I can’t imagine my life without Namshi , I use to online shopping from namshi since 2018 every thing you need you will find it at Namshi . Clothes, accessories, bags, shoes, home essentials, men's and children's clothing, everything you can imagine you will find . Love you Namshi 💜and keep going .",False
8,Can. NOT. Believe.,CandyBlaq,2019-01-17 12:24:59,"{'id': 6914570, 'body': '""Your appreciation matters a lot and motivates us to work even harder to make your shopping experience wonderful.\nHope to see you again and a big thanks for choosing Namshi :)', 'modified': '2019-01-19T14:13:47Z'}",5,"This website surpasses my expectations, by a long-shot. What is the best feature, in my opinion, is the quickest delivery I have experienced from an online shopping site. I have received my packages sometimes within 4- 5 hours. Thank you for the good quality products at great prices.",False
9,A very bad service,08/11/19,2020-11-11 11:03:59,"{'id': 19019602, 'body': 'Dear customer, Thanks for sharing your comment. We are sorry that your experience did not match your expectations. We would like the opportunity to further investigate your comment. Could you email us at care@namshi.com and we will work with you to resolve any issues as quickly as possible', 'modified': '2020-11-11T11:03:59Z'}",5,"Up until now I didn't received any response regarding my return item, it's been a month but until now no response at all and it's too hard to call or reach their customer service!",True
10,Very good experience,dr shimo,2018-06-24 22:20:50,"{'id': 4038807, 'body': 'We deeply value your relationship with us and thank you for showing so much Love. Hope to see you again. Happy Shopping!', 'modified': '2018-06-30T22:09:19Z'}",5,"Actually I didn’t expect that when I cancelled my order, I’ll get the refund that fast, the refund was returned at the same day& when I reordered; the products were excellent and the delivery was very fast (6 days).Also the customer service team are very helpful.",False
11,Very bad customer service,1478!;4$!.(?,2022-04-27 13:19:10,"{'id': 29458066, 'body': 'Hello, we are very sorry for the inconvenience, kindly help us with your order number or registered mobile number to our email id: care@namshi.com and we will look into this.', 'modified': '2022-04-28T20:15:01Z'}",1,Bad app bad staff i sent too many emails no one replied to me or did their job .I requested an exchange for my order two days after I received it and then two weeks later no one called me or contacted me about my exchange order so I sent an email to check if they received my exchange request no one replied to me and here I am writing one month after my exchange request and still no one has replied to me yet. Bad customer service and bad support team,False
12,Not the same,karmensam,2018-10-29 19:49:28,"{'id': 5734301, 'body': 'Hey Karmensam, Thank you for highlighting this issue, we will check with our tech team to solve with the new version. Thanks your Namshi Team', 'modified': '2018-10-30T23:59:13Z'}",3,"I used to like namshi because of their products and good customer service, but their app had become worse; it’s slow and takes ages to open up or even show your selection, what you like doesn’t save in your wishlist, and freezes sometimes. Please fix this so we shop easily, it’s becoming increasingly annoying to shop through it.",False
13,Love it,yasmina khalifa,2019-01-23 03:45:48,"{'id': 6975854, 'body': 'We deeply value your relationship with us and thank you for showing so much Love. Hope to see you again. Happy Shopping!', 'modified': '2019-01-23T11:49:23Z'}",5,"I usually doesn’t like to shop online ,but Namshi change my attitude 
Great Genuine products , lot of choices that I can’t even find in store
Easy payment ,professional Nice People for delivery 
Very trustworthy shopping website 
I advise everyone to shop from it",False
14,App always glitching,DXB MOM 2022,2022-06-05 03:52:01,"{'id': 30185971, 'body': 'Hello, Please accept our apologies for any inconvenience , Kindly contact us through ( care@namshi.com ) to assist you in the best way possible , Have a blessed day 🌹\r\n', 'modified': '2022-06-06T10:14:33Z'}",1,"Although I think the app is great in general, easy to navigate and place an order , every time I place an order it gives me a confirmation of my order only for me to find out later that my order never went through despite receiving a confirmation. This happens every single time  I place an order. Very frustrating having to call customer service every time to resolve the issue",False
15,Stupid customer service,hhfluf,2019-05-12 20:52:25,,1,After you place the purchase even though you paid by credit card they still call you to confirm the order I mean who does that you paid already and they still call to confirm it do you think people pay money to just play around with you!? And also they still call to ask for some kinda visual symbol near your location doesn’t matter even if you give them your exact location!,False
