,userName,rating,isEdited,title,review,date,appname
0,Play6589,5,FALSE,Subscribe and Save is a rip-off,"This review isn’t about the app. The app is fine with me. This is about Amazon’s subscribe and save. I had many items on it and realized the item was cheaper if I had ordered it myself. I contacted custom service and was told to wait until I receive the item before they would give me the cheaper price. I’m figuring when I did receive it, the cheaper price would be gone and they wouldn’t refund or they count on a customer forgetting to contact them.  I canceled my five year prime membership along with canceling all subscribe and saves. Prime has gotten to be a joke, too. I loved the music. Now they want to you pay MORE to hear up-to-date good music by subscribing to their music service. The only reason I had prime was for the shipping and the music. Now we’re down to one and I’ve been finding better pricing on items I buy elsewhere. Prime is no longer worth it for me. So disappointed.",16/07/2019 11:13,amazon
1,wiser4it,3,FALSE,Unacceptable.,"To be honest, I can’t always differentiate between the app and the retailer’s flaws.  I can compare the app to the website, though.  I have a major issue with Amazon’s search engine, which usually ignores many of my search terms.   I have huge issues with the quality of the products and the stingy limitations it places on my ownership of music and audiobooks I have paid for and should own for my money.  Food stamps?  Check out the microscopic choices available to the poor, who can use their food stamps for almost anything edible, in regular stores. 

I have many irritations with the app, such as no dates on reviews (which we know are not useful because so many of them are simply bogus propaganda from people being rewarded for positive contributions), the app’s design, which is far more awkward and limiting than Amazon’s website.  

Both access points are aggravating in their inefficiency.  I was seduced by Prime’s free shipping but am growing disgusted by Amazon’s poor customer service, its obfuscation of information, its focus on selling the cheapest garbage out there, its deceptive vendors, its manipulative and half-useless navigation algorithms, and its apparent business strategy of wasting as much of my time as possible, and I feel that the app is a rather crudely implemented extension of the company and its deplorable values and business plan.  This app offers less than the website, and I don’t recommend it.",07/11/2022 16:32,amazon
2,Why wont my names work,1,FALSE,Not the app but the actual company,"I dislike them, they’ve gotten worse, now our packages arrived not sealed at all which 9 times out of 10 means the order DOESNT ARRIVE then they want us to sent it back for a refund or replacement WHEN THERE IS NO ITEM. Its stupid! Because if you click the Missing/broken they ASSUME YOU HAVE IT EVEN THOUGH ITS MISSING. Theres no on site thing to review the company itself. Or file a complaint for its actual team. Then you spend an 1 hour on the phone with someone with an accent so thick you can’t understand them explaining you dont have the item! And it take them the entire hour to understand, for example, “i dont have the item i want a refund”
“You….dont have the item?” “No i dont have it” “ah well you can return it to get your refund” “I DONT HAVE IT” “Ohhhh!!! You dont have it, Let me see what i can do!” (30 minutes of waiting)
“Ah so it seems we can refund this but we can only do it to the site, maybbe the card” “i want the card refund. Its my money i need it” “Let me see what I can do…. you dont have the item???” “i dont have the item.” “Okay okay” (10 minutes) “you started the return process, yes? Can you return the item??“ “No.”(20 more minutes of basically explaining it in different words I NEVER received the item) “okay okay.. Ive started the return process your refund should be there in 5 days” “Thank you.”

THATS EVERYTIME IM ON CALL WITH THEM.",21/10/2022 3:15,amazon
3,Lordsearider,1,FALSE,Up grade destroyed it,"After the last several upgrades for the I-Pad version, no longer I-Pad friendly. App constantly rotates to a to line up with  “phone” size and I-Pad has to be rotated back and forth constantly to realign back to horizontal  format. This also occurs after each time you tap “back”, “return to search”. Then after returning back to previous search page you back at the first page and have to advance back to where you were. This “new” format and layout some times do not have a purchase button and only have a subscription button or neither. It’s to much like a phone app now. I’m sorry but i have a I-Pad, not a I-PHONE I do not want them stupid buttons on the bottom like an I-phone app. Also along the bottom of the window there is a black spot that appear when you first open the app and it also appear to be a notification window but blank. I have tried to tap on it, move it, open it, expand it, but nothing works, it just sits there covering half the screen. Also the right side of page is covered up or running off the edge. You can’t reduce size to make page fit, nor move it over to read it. I have deleted app and reinstalled to try and correct problems, and it may work fine or it may not. When it does load right, the next time I open it’s back to the “I-Phone” format.",12/09/2021 13:45,amazon
4,Nessa_33,2,FALSE,Buggy and Not Responsive/ No more separate wishlists?,"This app used to be seamless. I don’t know what happened but now, there are times when I cannot click to view the reviews of a product. Usually I can just click on the number of reviews next to the stars and it’ll take me to all the reviews, but now, it’s like it’s no longer hyperlinked and it does nothing when clicked on. So I tried the slower route which is to scroll down until you get to the reviews, but it turns out, when the app is bugging like that, you can’t scroll down to the reviews because the page just stops right after the price area. So no reviews to read at all. I try clearing my app history by swiping out and going back in but that doesn’t help. There’s no remedy right now for this bug. 

On the off chance you can click and read reviews, the pictures no longer fully display. It’ll just be the heading ‘Reviews with Images’ and a blank spot where the pictures would be displayed. When that happens, the hyperlinked ‘See All’ is also gone too. 

Also, why can’t I select which list my hearted items go to anymore? All my hearted items go only to wishlist now with no drop down menu to change it to another custom list. Why?",10/06/2022 6:37,amazon
5,ServRev,1,FALSE,Ridiculous & On-going Pop-up Suggestions/Tips,"Update: DELETING APP! Issue below continues and I will shop elsewhere! These pop ups really disrupt the shopping experience! Breaks your train if thought and what you were looking for—so fine, you won’t stop, so I will, buying elsewhere! 

We are all different—we think and sequence differently. STOP TELLING ME HOW TO DO THINGS—stupid pop up short cuts suggestions every time I do something—it disrupts the shopping experience. As a person with disabilities, it’s rude and insensitive for you to constantly remind me there is a way you want me to do things. Once is fine, but every time is like a pushy parent! Thanks for being the bully Amazon—so much for your sensitivity ads that you are open and accepting. Do you tell the deaf guy in your ads to listen differently? and do you constantly drop him tips in the same manner, with pop-ups? (You get my point!) Mind your own business—one reminder is enough—or there are other places I can shop! The passive aggressiveness is over the top! As well as your sneaky tactics of putting things on shopping lists I didn’t put there! (Must be a new MBA in Marketing trying to kiss up to management that he/she/they are increasing sales!) JUST STOP!!",21/11/2021 1:20,amazon
6,JCPennyy,1,FALSE,packaging is annoying,"oh my gosh this is getting so frustrating. i order something over 2 weeks ago, ETA had been September 2nd. Doesn’t arrive and i’m told it’s running late. I get it, things happen. It tells me that my package will now arrive from the 5-7th. I wait patiently as it tells me that if it doesn’t arrive by the 7th then i can get a refund and cancel the order. The day comes and i’m now told I have to wait till that Friday (aka today) to be able to get a refund. Fridays here and guess what message I get? Yup, my package is now expected on the 15th. Still no option for a refund, and at this point i don’t even need the stuff I bought anymore (it was for a business) Total waste of time and just so frustrating, won’t let me speak to customer service either.

Also, i don’t know what y’all did in the update but now I can only see 2 reviews out of however many there are, and of course it’s only the good reviews instead of the ones that actually say if anything is wrong. At first I thought it was just my phone, but my computer is the same thing. It’s not my wifi either, but please fix this because lately the app has been so frustrating.",11/09/2021 21:11,amazon
7,l!lG87,1,FALSE,Parting with Prime,"After almost a year of being on the fence, I finally ended my decade long loyalty with a company I was once proud to support. Nothing is eligible for 2-day shipping anymore, half of the stuff is cheap Chinese low quality knock offs, returns take weeks to process, and customer service doesn’t even speak the same language. The past few months have been nothing but ongoing issues. Oh and now apparently anyone can get free Prime shipping on $35 or more? Are you kidding me? What a joke. We don’t want video (that is riddled with ads and anything decent you have to pay extra for), music, cloud storage, GrubHub memberships, none of that. We just want fast, free shipping. This company has spread itself too thin and is no longer focusing on what made it what it is today. So for that reason, it is just not worth it anymore to me. Stop using COVID and “staffing issues” as an excuse. Get your business together or go away. It’s that simple. I am very, very disappointed in how quickly things have gone south. I will spend my hard earned money with smaller businesses that actually appreciate me and follow through with their commitments.",10/08/2022 2:43,amazon
8,John0627,2,FALSE,Not very app like and not very browser like either,"This so called app is confused when used on the Apple Mini.  It acts a little like the app on my iPhone and yet I can’t share products like I can from my phone.  
It also acts like I’m using a browser by allowing me to “zoom in” to get a closer look at images as if I were on the browser.
What I would like to see is the utilization of the browser like attributes and the app like attributes and make the tablet version better than the phone version, yet still have the conveniences of the phone app.  I want to be able to immediately share something through text because I can text on my Apple Mini or my Apple iPad.  I also like the full picture view better than magnifying a portion of an image.  I find it more convenient using my computer’s browser because my finger is not in the way of images, only the tiny little cursor.
My suggestion, make the Mini iPad version like the iPhone version because they are not that different since the iPad is a larger extension of the iPhone (app-wise) and not a PC.",15/06/2021 20:39,amazon
9,avantidomani,2,FALSE,iPad app buggy when using Magic Keyboard trackpad,"I primarily use my iPad with the Magic Keyboard. For about the last month I’ve noticed a bug where the pointer will skip to the empty portion of the tab bar to the left of the home tab every time the pointer enters the tab bar. It’s like the location of each item is being mapped to the blank area at the far left, but *only* when navigating with the trackpad. After it initially jumps left when entering the tab bar, I can click in the blank area and will be taken to the cart. If I carefully move the pointer in that blank space, I can find the corresponding spots to click into the other tabs. As soon as I approach the actual location of each item in the tab bar, however, the pointer jumps to the empty space in the far right. It’s impossible to hover the pointer over any of the the actual items in the bar so I have to use my finger on the screen instead. (Trying to use my finger in the blank area that responds to the pointer does nothing until I enter the expected boundary area for the home tab.)",03/10/2021 20:07,amazon
