,isEdited,rating,date,review,userName,title
0,False,5,2021-03-09 09:14:57,"I absolutely love ASOS! It’s my favourite shopping outlet and always my go-to for outfits/gifts etc. The app is so easy to use and every transaction I’ve had (until my most recent one) has been smooth and easy! The next day delivery is brilliant. I order frequently from here and I’ve never had a problem, returns are usually done quickly and no hassle. I purchased an item on 8th Feb which was a gift for my other half, his birthday is today and the item is too small, the 28 day return period ended yesterday but I contacted ASOS as they are usually so amazing and explained the situation, I would have been happy with an exchange or a credit note yet even though I’m a loyal regular customer that spends a lot of money with them they have refused to help me. I totally understand the policy but I’m really disappointed in this outcome as I run my own business and I look after my loyal customers as surely you want to take care of the people spending money with you and keep them happy? I get not having a refund but an exchange or credit note would surely not have been too much trouble. It seems greedy like many other big chains have been during the pandemic. I will think twice before using ASOS for gifts again. Not happy at all",Tiffany2411,Return refused
1,False,5,2018-07-16 19:44:09,"I have been really enjoying ASOS and the great pieces on offer. I am able to find something for any occasion and returns are so easy which I find really helpful for finding the right size/trying more than one option. I also love the range - plus size and items I love in more than one colour. 

Next day delivery has also been super for getting items nice and fast. Only complaint is that my last order took three days to get to me even though I have an annual next day delivery subscription. DPD are usually great, however I got a email from them this time with a picture of where they left my notice card saying they missed me but it was not my house and I had been in all day (Saturday 14th July). I was not able to contact them so thought it might be worth notifying you. They then said it would be delivered on Sunday and so I again stayed home all day and they did not attempt to deliver again. 

Hoping it does not happen again as I otherwise love the service - thanks!",TDLondon2018,Loving the trends in offer !!
2,False,3,2021-12-14 21:29:58,"ASOS is a very convenient way to buy clothes and is always the first place I look for stylish and affordable things to wear. After shopping here for a few years I just have to get the odd quirks off my chest.

Their photos are often highly misleading with models in awkward and often weird poses that give you no inclination into how the piece will look on a regular person. Adding to my distrust I have for what I’ll be getting (often relying on Klarna to try things on first just in case) I find items will have weird flaws in them I’m never sure how to feel about. Tiny pockets on a pair of baggy jeans for example. Oversized T-shirts that are tight. Black jeans that aren’t black at all or jackets costing almost £100 where the zip dismantles itself the first time I do it up.

But the thing that gets to me the most about this app is that while ASOS boasts 1000s of products to choose from they rarely have what I’m looking for. And this is coming from a guy who doesn’t ever wear “statement pieces” or stuff that makes me stand out all that much I just like them loose and comfortable. Without weird quirks like tiny pockets or knees slimmer than the rest of jeans.",aleksanders1,Hit and (mostly) Miss
3,False,4,2019-04-07 21:36:31,"I think you have one of the best online shopping apps out there (Zara are pretty good too). BUT I would LOVE to see how clothes look on certain shaped bodies, not the size 8 and below models who barely represent the hundreds of women who come in all sorts of different shapes and sizes, but the pears and apples and the hourglasses. I have the dreaded pear shaped body (I can wear a very snug 8 on top but usually wear a 10 and I am very much a 12 down below). It would be so nice to see a model who is a similar shape to me so I can get a vague idea of how the clothes will fall on my body and what it looks like. 99% of my returns to ASOS is because the items looks different on me than what’s advertised. And getting plus sized models won’t help either, believe me I’ve tried, I still  can’t get a sense of what a dress might look like on me.
The other thing is I often search through 1000s of items in one hit when I need something to wear to a wedding and all your models are so white. It gets so boring after a while to see someone who doesn’t have your skin tone wearing a dress you like often wondering ‘will this colour wash me out?’",fhfugiek,two things...
4,False,5,2020-12-19 19:45:14,"Hey ASOS
I Would like to say ASOS has one of the best systems of the ordering process particularly for one of the most busiest time - Xmas and, of course, the COVID-19.
It’s very easy, user friendly and enabling reviews including customers sending photos, this helps a lot for sizing of clothing and reassurance and suggestions of which beauty products to use.  
Delivery is v. good, keeping you up to date but, unfortunately, you have to watch out for Hermes just leaving parcels anywhere, where they can be displayed to the public eye. So,make sure you are at home that day of delivery otherwise it can be easily stolen.  A lot of people will agree with me on this. I have been a victim of this but not with ASOS, it was from a different retailer.
It’s very difficult also to complain to Hermes so ASOS if you read this please contact them on behalf of all your customers. Thank you",fruibat,The Whole Procedure of ordering from start to finish
5,False,3,2017-10-01 08:43:53,"I’ve had good and bad experiences. Very easy to shop online - whether it is through your phone or laptop. Only problem is the sizing of the merchandise. Some times I feel like it is falsely advertised. On the description it will say that the model in the photo is wearing a UK 8 (which I am) and when I receive the item it looks completely different on me. Not by an inch or so - by plenty. However, the good thing is it is extremely easy to return and exchange etc. On the contrary, waiting for your refund really is not. It’s funny how there are good and bad yet I shop there quite often. I suppose if you know you’ll need your postage receipt even 3 weeks after sending stuff back you get used to this strange way of shopping. I would definitely recommend. Be careful though, brands that sell through ASOS often reduce their prices on their actual websites faster than here. ASOS likes to keep us on our toes. Don’t even get me started on the points and vouchers and how everything looks and sounds great yet there really isn’t much to look forward to even if you shop there as often as me",xclusive-R,Always a surprise!
6,False,2,2020-10-23 19:47:07,"Asos used to be much better about ten years ago, then again I suppose everything did, in that everything seems to be getting worse all the time, and it’s not just my age, old, that is, although that’s probably a large part of it, and I say probably when I mean definitely. I only went on there out of boredom, having received an email from them. I was out with the dogs and they were doing my head in. I just had a quick look at Vans stuff in the sale as my daughter has been after a particular model or whatever you’d call them, and lo and behold there they were, at a bargaineous price, so I can’t really fault them this time. It’s just all this coronavirus rubbish going on and on (and on), the weather, the darkening nights, the fact that I took my guitars to be repaired almost a week ago now and haven’t got them back yet, my age (old), encroaching death, the terrible state of the planet, politically, economically, intellectually and ecologically or whatever: everything, really. But at least the shoes should make my daughter smile for a while, I’ll smile back at her, then we’ll carry on...",daisypip,A SOS
7,False,3,2017-10-13 14:05:02,"The new page layout makes the curve and plus size section a side note to the rest of the options. It is not as easy to navigate to and when you go into curve and plus size its a huge mic of all the sections and you have to then go and refine options to fibd specifics like trousers. Before the change those options came up automatically just like they do in the smaller clothes. The way the curve and plus size layout before was great and now I honestly feel its really been pushed aside and not prioritised at all. I used to browse this site literally every day and really feel good that there werr easy to find clothing options and I was all for not editing out stretch marks and lumpy bits on the curvy models. Please make the curve plus size section as easy to access and navigate as the straight size clothes. 

Ps The Ordinary Sacylic acid is no longer in the skincare section and the amount of The ordinary products avaliable on here have reduced. Frustrating as I used to buy my skincare on here to get my A list points amd now im shopping on all differant sites",Hiya pal,Curve and plus size
8,False,4,2018-02-19 16:11:47,"I absolutely love ASOS, I’m always scrolling through on my lunch hour or whenever I have a spare minute! I love love love the video feature, this is something I really wish other fashion apps (Missguided, Boohoo, PLT etc.) would adapt. As it proves an image of a dress for example, really isn’t the same during a video. It allows me to guarantee that I am definitely obsessed with the item before I buy! 

However, something that really frustrates me is that once you add items to your wish list there seems to be an around-30 item limit, as it begins to delete the items at the bottom of the list. Other fashion apps allow 100+ items, even if they’ve gone out of stock. 

The ASOS also doesn’t feature a swipe setting, for example you need to manually press the exit cross on the item you are viewing in order to return to the results list. Apps such as Instagram allow you to simply swipe back to the previous page, which would be a much appreciated feature for this app!",Dashh5**,ASOS
9,False,5,2020-10-29 19:21:30,"ASOS is very naughty ... but in a good way . There items are to good not only in style but in comfort also. Sizes are not far of the Mark . Unique styles you can not buy from any where else on the market and also the chance of massive discounts on good items . Always help customers by offering 20% or more discounts , sales . Communication via the App or emails keeping you inundated with specials , discounts and it gets me into trouble because I simply can not resist buying from ASOS time and time again , Spoken with advisers at customer services and can honestly say nothing is ever or ever has been a problem always very helpful and friendly . Not that I have had any major issues just enquiries about if I needed to return items ...... I would also recommend premier delivery at £9.99 for the year always had my items (items 😉) bang on next day . 
Happy days 🙌",SimSima78,ASOS makes you feel good
10,False,5,2022-11-25 11:32:48,"ASOS has an amazing petite selection, not like in the late 80’s when hardly anywhere catered for petite, and those that did were more, well, mumsie and old fashioned, oh yeah, and expensive.  I may be 54 now but I still love fashion and wearing sharp stylish trendy clothes, and I’m usually spoilt for choice when I review the ‘whats new’ section.  I love that I can keep all my faves in a separate list and get to keep an eye on when things drop in price, but one of my fave things is when other shoppers leave feedback on an item, so you get to see if something is coming up as smaller, true or larger than size. I’ve found it often helps me to decide what size to order and sometimes stops me ordering ‘more than one size for fit’, which reduces the number of returns and means the whole transaction is greener and kinder to the environment. It’s a win win……..",LittleMisseeee,Finally! Petite Central :0)
11,False,5,2020-08-01 17:03:56,"My love for this app burns in my heart like the brightest of stars. This app make me feel like I can accomplish all my goals with it at my side, I thank you ASOS for being the wonderful amazing app that you are. You suppress me every day with your cheap prices and everyday you warm my heart. At night ASOS is all that fils my dreams satisfying my deepest desires. I am the person I am today simply because of my unbreakable bond with this app. We have already had so many wonderful, exciting adventures. I cannot wait to see what the future holds for us. With asos at my side, I know that life will always be exciting. You are the only app in the world I can imagine building a life with. From the bumps in the road to the wonderful times, with our fair share of both heartbreak and laughter, I know that there is no one I would rather spend my future with than ASOS. 
Featured snippet from the web",mcpenisface,Review
12,False,4,2022-09-25 10:44:16,"I think that this website is rather good. It keeps in touch with the evolution within mainstream fashion while also veering off course to provide clothing options for those a tad more daring. I have never had an issue with any of the sizings, the clothes are always well made and fit exactly the way I would have hoped. I do believe I will continue shopping here for time to come.  

My one and only complaint with the application, is that when you search into a page with a particular item, the “buy the look” function is either incomplete, missing or not at all accurate; showing articles of clothing that have no relation to the style being viewed. Perhaps if someone proof checked this and moved similar items into the “things you may also like” tabs and reviewed the former, then I would see no reason not to provide a 5 star review.",Jordamurph00,Plenty of options - Up to date with fashion movements.
13,False,1,2022-09-30 01:32:41,"Having shopped with Asos for over 20 years I’m sorry to say that their Customer Service has rapidly downhill as a result of removing their phone lines and their “Chat” is nothing short of a disaster as you get false promises and staff can just end the Chat if they don’t want to help. I’ve spent hours of precious time trying to sort issues out to no avail. 
I’m now almost 5 months trying to solve a problem with having bought the same skirt in 3 sizes at the start of May. I kept and paid for one of them and don’t know why they insist despite returning the other two why I should expect to pay them  and  everything else in the same bag having been refunded in May after they were returned . 
By placing all the items in one bag leaves it very open to fraud in the fact that we are still being charged for items that we have returned and yet being credited for the remainder of the items.
Each member of staff promises that it will be sorted out and sorry to say that almost 5 months on this is not the case .",Blue Tabby Sacred Birman Owner,Very very poor customer service.  Bring back your phone lines.
14,False,5,2022-08-26 14:41:03,"I rarely if ever buy clothes via an app downloaded from the App Store. I stubbled across ASOS around 2 years ago (I think) and I just took the plunge and decided to buy something. I’ve not looked back since. I have to be honest and say that ASOS doesn’t know what they’ve done for me. ASOS has changed my life when it comes to feeling confident about myself, how I look and the style I choose to wear. I can’t thank ASOS enough for helping to nudge me in the right direction to feeling more confident about myself and also to say “it’s ok to be different. It’s ok to be you”. Every item of clothing I have purchased have been of top quality not only from leading labels but from ASOS themselves. Size fittings - perfect. Delivery - excellent. Service - 10/10. Company - A+A+A+. ASOS......thank you! 😃",Andi Foulds,Simply the best.
15,False,1,2021-08-26 16:57:35,"Ordered sunglasses with a weekend discount of 20% then was enticed to download their app to get an extra 20% off. Great deal. Paid the Next day delivery £5.95 as I was going away the following weekend. Received the wrong sunglasses (Raybans) so promptly contacted their web chat (no other real choice). Sent them back. Waited……… 8 days later I have proof they were received by ASOS but nothing from them. Contact them…. web chat, “we didn’t receive them” anyway to cut along story short that got sorted full refund in they way with in 48hrs. I was quite clear I expected the postage cost back. Email arrives, refund amount only the sunglasses not postage. Contacted them………… it goes on I won’t bore you. Absolutely useless and you’ll have to really put the effort into sort the issue. Waste of time. And now they are swooping up all the high street brands I honestly wonder what kind of a retail world will be left when companies like this are so big they have no impetus to treat their customers with respect and courtesy and sort out issues quickly and fairly.",Acharmingman,Still waiting for correct refund…..
16,False,1,2018-08-11 19:03:09,"So far I can’t comment on the quality of the product, because I haven’t received it on the promised date. 
It is not possible to speak with customer service, the closest you have is an online chat and those support people are pretty useless as they are unveiling to resolve any issues. 
I contacted customer care when I didn’t receive my order on the date when it was promised and they told me that maybe I will receive it 11(!) days later and that they can’t do anything because it is with the delivery company and outside of their control. 
So to sum up : no one bothered to contact me to warn about a huge delay in delivery; they didn’t offer any options such as send again thru different courier; they refused to give me a phone number to actually speak with a human being either at ASOS or their delivery company. The only thing the suggested that I reorder ie pay again and then waste my time to return the items when all of them arrive to make sure I receive something in time to use them for the event that I bought them for!",super fristrated,Not delivered and no options offered
17,False,1,2020-12-10 18:27:33,"I have been with asos for years and this year I made multiple orders into the Black Friday, two items were missing, I reported via their chat line and this lady told me she will
have to replace them, It was until another day or two that I learn from another person on their chat like that in fact there was no replacement issues and that the original item only took longer to come as were splitter parcels, I began to worry question why anyone would lie about replacing item when they could have just told me to keep waiting(just to look nice like they being helpful), in short words. Three weeks gone and I didn’t receive my item, apparently it was delivered to a neighbour and their DPD confirmed it so therefore I should go deal with my neighbour as it’s not their issue anymore!  Nothing hurt so much than a bunch of i*iota sitting at a desk making such replies on the menu I worked for! Now they stopped replying me about my refund! If this is not fraudulent I don’t know what is.",WasiBello,Absolute Disgrace customer service
