,rating,userName,developerResponse,title,date,review,isEdited
0,5,Superhero ninja,"{'id': 31284303, 'body': ""Hi,\n\n\r\n\r\nThank you so much for taking the time to share your amazing feedback.\n\n\r\n\r\nIt means a lot to us that you had a positive experience and we hope you continue to choose FARFETCH as your luxury fashion destination.\n\n\r\n\r\nIf there is anything else we can help you with, please send us an email to customerservice@farfetch.com. We'll be glad to help you!\n\n\r\n\r\nFARFETCH\r"", 'modified': '2022-08-04T16:55:21Z'}",Best for luxury clothing!,2022-08-02 05:16:20,"Unbiased review I buy a lot of luxury clothing and designer brands but I live in the south and there’s not much in person shopping I can do for luxury/designer brands unless I go up north or out of state. This app comes in clutch for almost all brands I like and it’s the best, I’m fortunate enough to make good money to spend on myself and family and they have everything on this app from shoes all the way to hats. I love the sales, the brands, the fast shipping and the payment options as well it hits all points on my list personally and I can very well see myself using this app for all my apparel and shoes and everything in between im so glad I found this app!",False
1,1,Belcuore,"{'id': 13225624, 'body': ""Thank you so much for your detailed feedback. We're very sorry to hear that your first shopping experience didn't meet our high standards. We've shared your feedback to our team to push improvements in our country and language options. We do hope that you'll consider us as an option in the future."", 'modified': '2020-01-31T15:22:44Z'}",I should have believed all the bad reviews,2020-01-30 01:21:06,"Wanted to buy about $5,000 in a pair of shoes and a purse. But reading the very bad reviews, I decided to just give it a try buying just the shoes. Well, two days later, got a basic email that my order has been canceled and shall receive a refund soon. No choices, no alternatives. Replied with a complaint and received a condescending and still robotic email saying that I was supposed to list my shipping country as Puerto Rico and not the US. Meaning, if you live in Puerto Rico forget buying here. It will force you to read their website in Mexican Spanish (I’m not joking) with no option for English or just regular Spanish. Then it will treat your purchases as if you were in a foreign country where you have to pay customs, duties, etc. even if the merchandise comes from another state (NY, where the shoes would come from). Then when you pay, your address is invalid because your credit card company uses the regular American format to validate your shipping address and PR is part of the US, not a country. I emailed the company to clarify that the address is right and that I couldn’t navigate their website in “Mexican Spanish” and more importantly, the credit card wouldn’t validate the purchase with PR as a country. Bad website and worse customer service. They have dumb robots doing the work of people and adults. Not worth it!",False
2,3,Cynthia6480,,App fine; returns/customer service awful,2022-06-02 01:41:07,"I ordered a bag from Italy and it arrived I realized it was a smidge smaller than I’d like so I arranged the return (you have to make an appointment for someone to pick it up, within 7 days of receiving the package) the pick up ran 2 hrs late (even though there was a 3 hour window) but I get it, things happen. My dad gave the package and the package slip to the delivery man who scanned it and went off. Over the next few hours the tracking never updated to “collected” or to “shipped” so I contacted customer service asking when I could expect an update with all the order and return info in the email. They asked me it was scanned (it was) and then never responded. I emailed again they told me there was a missing package inquiry on my account. I sent proof that my package was picked up (lucky I have a video camera on my porch) that clearly showed the package being hand delivered and scanned to the mail carrier. Even then they wouldn’t respond. So after a few days of that I just put in a dispute with my card and then finally they released my funds.",False
3,1,ffychvkgjkvguvguvgyvvvug,"{'id': 23681956, 'body': ""Hi, thanks for getting in touch with us. We're really sorry to hear that you've experienced issues with your order. If it hasn't been resolved, please feel free to contact us and we'll be happy to help."", 'modified': '2021-06-30T17:54:04Z'}",Poor business practice,2021-06-26 14:58:45,"I ordered something a few days prior to writing this review. It was a dress that had recently went on sale at several companies (Nordstrom, Neiman Marcus, Oscar de la Renta’s homepage, etc) and I decided to place through Farfetch. They cancelled my order and *so far the refund has not processed and when I go back to check on the item (cancelled at 6am checked app and dress availability at 10am for multiple companies including Farfetch) I see low and behold it’s still in stock - at a higher price now. I went to contact customer support - they were no help and the website crashed while writing a claim. I will try again but I am very frustrated and not optimistic right now. If you sell something at a price and then I pay for it, that price should be honored if the quantity is available. ^Note the discrepancy is not a decimal point on the price tag, my size is more expensive but at the time of purchase the price was all equally on sale to match competition and the designer’s price. Next time I will just order directly from another company.",False
4,2,Lstag12121941!,,Bad customer service,2021-03-08 13:05:38,"Cool idea, but if anything goes wrong with your order expect FarFetch to be little help. After receiving shoes from Philippe Brand Paris that were cheaply made and peeling after a couple wears, I reached out to FarFetch about what we could do. It took them over a month to get in touch with the brand. I had to follow up several times. Then, they gave me 12 hours to package up the shoes to send back for “inspection”. There was no guarantee of refund. Nothing said about the time it might take. And after waiting to hear from them a month, they just sent a delivery driver to my house (I wasn’t even home) without getting any confirmation from me in 12 hours. They also asked me to package them up in the “original packaging” 2 months after purchase, so clearly it’s a method to not have to compensate the customer. If you’re happy with the product, you’re probably happy with FarFetch. If not, well they aren’t going to do anything to fix it so you’ll be like me: deleting the app.",False
5,4,Haruki Jitsunin,,"Great fashion app, some bugs",2022-01-27 03:58:16,"I love how easy it is to navigate from one found garment to similar garments. The search, filtering and suggested items are really intuitive. The shipping is always quick and returns are seamless. Customer support also deserves 5 stars. 

The only thing keeping this from a 5-star rating is the wishlist feature. As someone who normally has a clear vision of what I want, I enjoy comparing similar pieces from different brands/designers. For this, I usually use the wishlist feature. Unfortunately, this feature is slow and buggy at its best. It takes a while to load the wishlist and removing items from it takes a while and sometimes doesn't happen. Worse yet is that when this bug occurs, it’s easy to accidentally remove items that I didn’t mean to. 

If not for this bug, I’d give it a 5 star rating.",False
6,1,Dang I hate crashes yea,,Horrendous order support team and broken promise,2018-01-12 15:39:03,"Farfetch does not stand by its customer promise of great service... or even good service for that matter. 

I’ve never experienced such overwhelming incompetence from an order support team. I noticed that my order contained an unapproved surcharge, so I contacted support via email and phone and requested an order cancelation. They then waited until the item shipped the next day before responding that they would look into it. I called in and talked to a clueless guy who first told me that the order could not be canceled because it had already shipped, but he promised to help and asked me to call him back in two business days if I hadn’t heard from him. Then, Farfetch proceeded to overcharged me, in the wrong currency. I contacted them on the second business day, and then they refused to fix the charge unless I returned the order and then re-purchased it. With PayPal’s exchange rates, I wouldn’t even receive a full refund! Massive, rude, insulting waste of time and energy. At these prices, I’m absolutely furious. Terrible, terrible, terrible.",False
7,1,stuckwithdress,,No Customer Service,2021-12-07 00:14:34,"If you know you love the item and have no question in your mind that you may need to return it then this is a great option. 

If your used to other online shopping options and might need to return it’s not worth it to buy from this company. I paid more for a dress buying it from farfetch than the designer because they talk about how easy their return process is on their website; this is not accurate. A two week return window is not for deciding you need to return something rather it’s for that item to be delivered back to the designer. And you can’t drop items off at fedex/UPS or anything like that. They send a currier to your house - sounds nice if you have the ability to be available at home during the day for a three hour window on a very tight turn around. 

They have beautiful items but I won’t be buying anything else from them because of the time and hassle spent just trying to navigate and the money wasted.",False
8,1,Rabengro18282882,,Do not buy from this website,2020-09-13 20:27:32,"I ordered a pair of Alexander McQueen shoes, I’m a currently a gold member and I tried to return my shoes with a label that FARFETCH emailed me. Long story short they lost the shoes and are asking me for evidence that I returned the shoes “can you please send us a video of you giving a package to DHL”. Mind you I called them before processing the return so that everything was properly handled. I never in my life experience such bad customer service and it’s such a shame I have to write this review because I really loved buying from them. Advice from me to new buyers record yourself returning items and keep it for your records just in case. I lost 700$ with this app and their customer service it’s just ridiculous, same conversation on repeat. It’s been over 4 months and here I am trying to see if I can get my refund but they’re not helping. It is not my fault they screwed up somewhere in their supply chain and now I have to pay the consequences of their mistakes.",False
9,1,WHKavanaugh,"{'id': 14735400, 'body': ""Hello and thank you for your review. We're so sorry to hear that you're dissatisfied with the service you've received. All comments are used to improve our services, so we rely on your feedback to give our customers the best shopping experience possible."", 'modified': '2020-04-17T14:48:09Z'}",Terrible shipping and return policy,2020-04-16 21:59:36,"Do not waste your time with this website. 
All items I’ve ever received from orders through Farfetch have been with DHL. There is no DHL office anywhere near me, so it takes forever to receive any item. The products they are selling are not exclusive to them, and I could purchase them elsewhere and receive them much faster. Honestly, I could fly to Italy and buy the Gucci jacket and get home before my order would arrive from Farfetch. And do not expect any special treatment or packaging for that matter. 
In addition, I recently tried to return a pair of Golden Goose sneakers that were a few days outside of the return policy, and they refused! Rafaela in customer service was unwilling to offer any compromise or understanding. Apparently she did not look at my purchase history before considering. 
There are so many other sites selling luxury goods that appreciate my business. Deleted this app and shopping elsewhere. I reccomend the OUTNET and Moda Operandi.",False
